epoch,train_loss,train_chamfer,train_normal,train_jacobian,train_cap_fold,val_chamfer_l2,val_hausdorff,c1_min,j_valid_rate,cap_safe_rate,safe_rate,mean_negative_j_fraction,mean_cap_fold,worst_cap_fold,secs
0,0.01384481729121145,0.006564075331264787,0.0728074184341375,0.0,0.0,0.0037607337653753348,0.25654389436545844,0.050760433077812195,1.0,1.0,1.0,0.0,0.0,0.0,6.59538459777832
5,0.012655579921262658,0.005655254359060729,0.06828350009810594,0.006239091645633143,0.010130523318293118,0.002748747317582456,0.2549823812477819,0.05339429900050163,0.75,1.0,0.75,0.000737579775528169,0.0,0.0,8.740366220474243
10,0.012556149653685891,0.005465410927585749,0.06872791380649715,0.011321760946395554,0.008508934945563273,0.00269460075560346,0.2538591522852126,0.058451853692531586,0.8125,1.0,0.8125,0.0004951584507042253,0.0,0.0,8.75656771659851
15,0.0124643777292504,0.005491339668750321,0.06780754975184347,0.010296863069736262,0.004216195056410424,0.0025839687668849365,0.25249128928220677,0.10704807192087173,0.78125,0.96875,0.78125,0.000589719960387324,3.826796091743745e-05,0.0012245747493579984,8.70971941947937
20,0.012408053938703931,0.00549668768882949,0.06732791928442741,0.008319373794090368,0.0037150064779003936,0.002629682669066824,0.25424731427196284,0.06232544034719467,0.8125,1.0,0.8125,0.0005432988556338029,5.772944905402255e-05,0.0009556510485708714,8.722587823867798
25,0.012245290631644729,0.005444007821473989,0.06645549277332846,0.006166690342218299,0.0005616290441079138,0.0025283182021667017,0.25325343455601146,0.1909073144197464,0.8125,0.875,0.75,0.0004298250440140845,0.00024158948872354813,0.002224005525931716,8.634392499923706
30,0.012172296392787812,0.005429347949996215,0.06562261489887881,0.007682064584787899,0.0018018942029841881,0.002509665456273069,0.25229830254888436,0.263363242149353,0.78125,0.90625,0.71875,0.0007891587808098591,0.0003487907233648002,0.0032613123767077923,8.760090827941895
35,0.012099224559003205,0.005396829132958447,0.06527076274476419,0.007084010880024642,0.0016256345127107614,0.0024770128748059506,0.25183328622639434,0.1607450544834137,0.71875,0.90625,0.71875,0.0005381409551056338,0.00031196817390366505,0.0024463115260004997,8.719217538833618
40,0.01215117853934491,0.005469861284846139,0.06525972654873674,0.005632648630519798,0.002035569829850562,0.0025647985048635746,0.2543120718609734,0.147669717669487,0.84375,0.96875,0.84375,0.00031291263204225354,0.00020248376722520334,0.0020051891915500164,8.688356637954712
45,0.012060160479376638,0.005379353507628871,0.0651175798048651,0.006242574807110585,0.0026987813391138437,0.00249562656335911,0.2518889510267457,0.16342191398143768,0.8125,0.90625,0.78125,0.0005157900528169014,0.0002646589219921225,0.0019509739940986037,8.939391374588013
50,0.012038751110208757,0.005419218330056115,0.06455296438864687,0.0063474713575428126,0.00018258948815708556,0.0024488218004989903,0.25068258999613946,0.24700643122196198,0.75,0.84375,0.65625,0.0008510535871478873,0.0003468611548669287,0.001874728361144662,8.805508136749268
55,0.012137962956771706,0.005463854331850084,0.06499240341398752,0.006347192637776695,0.0037979317326980984,0.002528837925638072,0.25221924782260763,0.19107769429683685,0.78125,1.0,0.78125,0.00039715834066901404,6.147467274786322e-05,0.0009536385186947882,8.772155046463013
60,0.012002884410321712,0.005341534411965051,0.06488115609049647,0.006565642095010402,0.0005376451528478277,0.0024404355626757024,0.25077484459762456,0.2729390859603882,0.78125,0.78125,0.625,0.0009009132922535211,0.00047488704336728915,0.0023082050029188395,8.71055817604065
65,0.012037778515462774,0.005424672218258352,0.06436110896086603,0.006326420236625982,0.0028639325674436867,0.0024786391199995705,0.2514681271062577,0.2614499628543854,0.75,1.0,0.75,0.0005536146566901409,0.0001177368174012372,0.0008654466364532709,8.807037353515625
70,0.011944913849789612,0.005368213500883995,0.06399628326691913,0.006761772284748572,0.0006856887282744785,0.0024433563758066157,0.25083724006997776,0.2801147401332855,0.75,0.8125,0.625,0.0009129483934859155,0.00045422938319461537,0.0021335852798074484,8.735236167907715
75,0.011972775935628122,0.005385816715495435,0.06393083885330895,0.007321589069030482,0.001958454994215892,0.0024399316807830473,0.25083403752781475,0.29165446758270264,0.71875,0.8125,0.625,0.0009060711927816902,0.00042091739078387036,0.0020816067699342966,8.745043992996216
80,0.01190433153797957,0.005328811404372876,0.06394387507397267,0.0068666549626489205,0.000847058712396484,0.002440544372802833,0.2509440625409287,0.2851279079914093,0.71875,0.8125,0.625,0.000875123789612676,0.0005129805249453057,0.0022738557308912277,8.728647232055664
85,0.01196045059160414,0.005376856920492807,0.06401108153107943,0.0071626884322693735,0.000884222028906891,0.0024386464770032035,0.25083335507454546,0.2867937386035919,0.71875,0.8125,0.625,0.0009404571963028169,0.0005074355512988404,0.00232781283557415,8.733604907989502
90,0.011948318865074956,0.005376889763871499,0.06389040164555414,0.0069429220025594715,0.001079184507396334,0.00243830208773943,0.2508492885667406,0.28773167729377747,0.71875,0.8125,0.625,0.0009284220950704226,0.0005199610513955122,0.002380995312705636,8.794840335845947
95,0.01196849953402022,0.005354635143620809,0.06431258433601922,0.007058488488895432,0.0009559596114062035,0.0024374312415602617,0.2508521421043551,0.288714200258255,0.75,0.8125,0.65625,0.0009198255941901409,0.0005145116492712987,0.0023682592436671257,8.721463203430176
100,0.011961897623471239,0.005364229705953745,0.0641436618893887,0.007060643185664776,0.0010583264691530704,0.0024375969851462287,0.250846365000414,0.2884032428264618,0.75,0.8125,0.65625,0.0009181062940140845,0.0005191186073716381,0.0023717014119029045,8.700217008590698
