index,raw_j_valid,raw_cap_safe,raw_safe,raw_negative_jacobian,raw_negative_fraction,raw_degenerate,raw_degenerate_fraction,raw_minimum_signed_jacobian,raw_minimum_area_scale,raw_base_cap_fold_max,raw_crown_cap_fold_max,raw_cap_fold,raw_chamfer_l2,raw_hausdorff,projection_activated,projection_stage,alpha,retained_percent,post_j_valid,post_cap_safe,post_safe,post_negative_jacobian,post_negative_fraction,post_degenerate,post_degenerate_fraction,post_minimum_signed_jacobian,post_minimum_area_scale,post_base_cap_fold_max,post_crown_cap_fold_max,post_cap_fold,post_chamfer_l2,post_hausdorff,delta_chamfer_l2
0,0,1,0,3,0.0001483386075949367,0,0.0,-0.02620968595147133,0.013907317072153091,0.0,0.0,0.0,0.00031405873596668243,0.07803377547510233,1,all,0.4165733903637374,41.65733903637374,1,1,1,0,0.0,0,0.0,2.495653461664915e-08,0.0023939122911542654,0.0,0.0,0.0,0.00034810687066055834,0.07809142046728615,3.404813469387591e-05
1,0,1,0,4,0.00019778481012658228,0,0.0,-0.0014545221347361803,0.0005215996643528342,0.00048603510367684066,0.0,0.00048603510367684066,0.0005008905427530408,0.07406795076741826,1,all,0.3978213220834732,39.78213220834732,1,1,1,0,0.0,0,0.0,-7.49787432141602e-09,0.00040704148705117404,0.0,0.0,0.0,0.000393438822356984,0.05806615645607995,-0.00010745172039605677
2,0,1,0,97,0.004796281645569621,0,0.0,-0.8692516088485718,0.004719901829957962,0.0,0.0,0.0,0.0015543705085292459,0.14428179064660324,1,all,0.23882896453142166,23.882896453142166,1,1,1,0,0.0,0,0.0,0.0008305325754918158,0.0009014937677420676,0.0,0.0,0.0,0.0014681338798254728,0.14020597760100026,-8.623662870377302e-05
3,1,1,1,0,0.0,0,0.0,0.0020081251859664917,0.00206872820854187,0.0,0.0,0.0,0.002987292595207691,0.22612337603758215,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.0020081251859664917,0.00206872820854187,0.0,0.0,0.0,0.002987292595207691,0.22612337603758215,0.0
4,1,1,1,0,0.0,0,0.0,0.07964081317186356,0.07967093586921692,0.0008118186960928142,0.0,0.0008118186960928142,0.00955086201429367,0.2073426423981095,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.07964081317186356,0.07967093586921692,0.0008118186960928142,0.0,0.0008118186960928142,0.00955086201429367,0.2073426423981095,0.0
5,1,1,1,0,0.0,0,0.0,0.017499364912509918,0.017499741166830063,0.0008061443222686648,0.0,0.0008061443222686648,0.00040741910925135016,0.07262988368383874,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.017499364912509918,0.017499741166830063,0.0008061443222686648,0.0,0.0008061443222686648,0.00040741910925135016,0.07262988368383874,0.0
6,0,1,0,3,0.0001483386075949367,0,0.0,-0.05201605707406998,0.002314142417162657,0.0,0.0,0.0,0.0003151455894112587,0.0733511527443412,1,all,0.21296007186174393,21.296007186174393,1,1,1,0,0.0,0,0.0,-7.2177499532699585e-09,0.003504207357764244,0.0,0.0,0.0,0.00039143202593550086,0.0830609347956258,7.628643652424216e-05
7,1,1,1,0,0.0,0,0.0,0.11793221533298492,0.11864021420478821,0.0,0.0,0.0,0.0043715923093259335,0.21044298769052686,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.11793221533298492,0.11864021420478821,0.0,0.0,0.0,0.0043715923093259335,0.21044298769052686,0.0
8,1,1,1,0,0.0,0,0.0,0.0026766397058963776,0.002712426008656621,0.0,0.0,0.0,0.006910310126841068,0.2525443451956552,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.0026766397058963776,0.002712426008656621,0.0,0.0,0.0,0.006910310126841068,0.2525443451956552,0.0
9,1,1,1,0,0.0,0,0.0,0.018338894471526146,0.022551154717803,0.0007837729644961655,0.0,0.0007837729644961655,0.004602820612490177,0.43525270184133513,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.018338894471526146,0.022551154717803,0.0007837729644961655,0.0,0.0007837729644961655,0.004602820612490177,0.43525270184133513,0.0
