idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,classical_geom_jacobian_valid,classical_geom_negative_jacobian,classical_geom_negative_fraction,classical_geom_degenerate,classical_geom_degenerate_fraction,classical_geom_minimum_signed_jacobian,classical_geom_minimum_area_scale,classical_geom_base_cap_fold_max,classical_geom_crown_cap_fold_max,classical_geom_cap_fold_max,classical_geom_cap_safe,classical_geom_safe,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency,learned_geom_jacobian_valid,learned_geom_negative_jacobian,learned_geom_negative_fraction,learned_geom_degenerate,learned_geom_degenerate_fraction,learned_geom_minimum_signed_jacobian,learned_geom_minimum_area_scale,learned_geom_base_cap_fold_max,learned_geom_crown_cap_fold_max,learned_geom_cap_fold_max,learned_geom_cap_safe,learned_geom_safe
0,0.00041376074659638107,0.010697618126869202,0.07824316625035295,0.03550368547439575,0.9223804473876953,True,0,0.0,0,0.0,0.005563173908740282,0.005563173443078995,0.0,0.0,0.0,True,True,0.00031405873596668243,0.009443646296858788,0.07803377547510233,0.029069479554891586,0.9335129857063293,False,3,0.0001483386075949367,0,0.0,-0.02620968595147133,0.013907317072153091,0.0,0.0,0.0,True,False
1,0.00037873716792091727,0.011104999110102654,0.04759032358110674,0.03462006896734238,0.9738577604293823,True,0,0.0,0,0.0,0.0003464071196503937,0.00034640709054656327,0.0,0.0,0.0,True,True,0.0005008905427530408,0.0120911356061697,0.07406795076741826,0.044272281229496,0.9746482372283936,False,4,0.00019778481012658228,0,0.0,-0.0014545221347361803,0.0005215996643528342,0.00048603510367684066,0.0,0.00048603510367684066,True,False
2,0.0014623592142015696,0.019112225621938705,0.13838870727891786,0.08106033504009247,0.8961966633796692,True,0,0.0,0,0.0,0.0004825897340197116,0.00048258970491588116,0.0,0.0,0.0,True,True,0.0015543705085292459,0.019567960873246193,0.14428179064660324,0.08336184918880463,0.8952450752258301,False,97,0.004796281645569621,0,0.0,-0.8692516088485718,0.004719901829957962,0.0,0.0,0.0,True,False
3,0.0037493978161364794,0.02494356781244278,0.2252781655186017,0.16223667562007904,0.9126082062721252,True,0,0.0,0,0.0,0.0012134048156440258,0.0012134049320593476,0.0,0.0,0.0,True,True,0.002987292595207691,0.022081319242715836,0.22612337603758215,0.14376619458198547,0.923021674156189,True,0,0.0,0,0.0,0.0020081251859664917,0.00206872820854187,0.0,0.0,0.0,True,True
4,0.009474282152950764,0.0357799157500267,0.2073426423981095,0.20602546632289886,0.764609158039093,True,0,0.0,0,0.0,0.02462894842028618,0.02462894655764103,0.0,0.0,0.0,True,True,0.00955086201429367,0.03576580807566643,0.2073426423981095,0.2060268074274063,0.7623875141143799,True,0,0.0,0,0.0,0.07964081317186356,0.07967093586921692,0.0008118186960928142,0.0,0.0008118186960928142,True,True
5,0.0008801458170637488,0.014511649496853352,0.0863664525810385,0.050566166639328,0.921393632888794,True,0,0.0,0,0.0,0.006264593917876482,0.006264594383537769,0.0,0.0,0.0,True,True,0.00040741910925135016,0.01116986945271492,0.07262988368383874,0.03196892887353897,0.9369969367980957,True,0,0.0,0,0.0,0.017499364912509918,0.017499741166830063,0.0008061443222686648,0.0,0.0008061443222686648,True,True
6,0.00044831258128397167,0.011682495474815369,0.08277627123239194,0.03761596232652664,0.8741057515144348,True,0,0.0,0,0.0,0.00048367585986852646,0.0004836758889723569,0.0,0.0,0.0,True,True,0.0003151455894112587,0.010371414944529533,0.0733511527443412,0.02955850586295128,0.8750457763671875,False,3,0.0001483386075949367,0,0.0,-0.05201605707406998,0.002314142417162657,0.0,0.0,0.0,True,False
7,0.0058015696704387665,0.03812205791473389,0.2178943794285384,0.1342569887638092,0.8966627717018127,True,0,0.0,0,0.0,0.029459979385137558,0.02945997752249241,0.0,0.0,0.0,True,True,0.0043715923093259335,0.03119713068008423,0.21044298769052686,0.1247825101017952,0.9013258814811707,True,0,0.0,0,0.0,0.11793221533298492,0.11864021420478821,0.0,0.0,0.0,True,True
8,0.007774007972329855,0.03700461611151695,0.25134604897942275,0.18156561255455017,0.9121580123901367,True,0,0.0,0,0.0,0.0017896147910505533,0.0017896149074658751,0.0,0.0,0.0,True,True,0.006910310126841068,0.03342130035161972,0.2525443451956552,0.16478584706783295,0.8572728037834167,True,0,0.0,0,0.0,0.0026766397058963776,0.002712426008656621,0.0,0.0,0.0,True,True
9,0.008020617067813873,0.03221909701824188,0.4523774426023551,0.17783409357070923,0.9251008629798889,True,0,0.0,0,0.0,0.032167401164770126,0.032167401164770126,0.0,0.0,0.0,True,True,0.004602820612490177,0.02534227818250656,0.43525270184133513,0.10063451528549194,0.9293007850646973,True,0,0.0,0,0.0,0.018338894471526146,0.022551154717803,0.0007837729644961655,0.0,0.0007837729644961655,True,True
10,0.004861010238528252,0.02155277691781521,0.34248831429698834,0.16416050493717194,0.960966944694519,True,0,0.0,0,0.0,0.06132905185222626,0.06132905185222626,0.0,0.0,0.0,True,True,0.0029756976291537285,0.01768653094768524,0.30940526178493255,0.06695163249969482,0.9675767421722412,True,0,0.0,0,0.0,0.15901333093643188,0.15901422500610352,0.0,0.0,0.0,True,True
11,0.0023515517823398113,0.019869420677423477,0.20494354918761118,0.12627626955509186,0.9423239827156067,True,0,0.0,0,0.0,0.004010301548987627,0.00401030108332634,0.0,0.0,0.0,True,True,0.0015815376536920667,0.016795188188552856,0.2102018615263885,0.07818220555782318,0.9516936540603638,False,2,9.889240506329114e-05,0,0.0,-0.009006946347653866,0.004996635485440493,0.0,0.0,0.0,True,False
12,0.0020491136237978935,0.02384825050830841,0.13957175570365588,0.08368511497974396,0.926312267780304,True,0,0.0,0,0.0,0.005889123305678368,0.005889123771339655,0.0,0.0,0.0,True,True,0.0017452067695558071,0.022663038223981857,0.14562107644709948,0.06549889594316483,0.9300248026847839,False,15,0.0007416930379746836,0,0.0,-0.10815570503473282,0.009919834323227406,0.0,0.0,0.0,True,False
13,0.009091096930205822,0.03171990066766739,0.3466274168340903,0.28172245621681213,0.9472221732139587,True,0,0.0,0,0.0,0.0029941468965262175,0.002994146663695574,0.0,0.0,0.0,True,True,0.006445175502449274,0.026597898453474045,0.3379539584742572,0.234247088432312,0.9586278796195984,True,0,0.0,0,0.0,0.005552720278501511,0.005870346445590258,0.0,0.0,0.0,True,True
