idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,global_chamfer_l2,global_chamfer_l1,global_hausdorff,global_hausdorff95,global_normal_consistency,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency
11,0.0021594904828816652,0.021241700276732445,0.20432455484390075,0.07583720982074738,0.9566861987113953,0.0018616188317537308,0.018779495730996132,0.20254257037252774,0.05875775218009949,0.9504187107086182,0.000913717201910913,0.013383138924837112,0.19592159663003467,0.025657033547759056,0.9800126552581787
12,0.014591153711080551,0.03641718253493309,0.5110066533318078,0.3425106108188629,0.9467601180076599,0.011442868039011955,0.03202991560101509,0.50530928818927,0.3135562241077423,0.9508305191993713,0.005255713127553463,0.020672164857387543,0.4673819287264256,0.1427146941423416,0.9669889211654663
13,0.010166781023144722,0.028357405215501785,0.512727921675026,0.24118037521839142,0.9650900363922119,0.008164489641785622,0.024882612749934196,0.515455304745486,0.19513030350208282,0.9659550786018372,0.0038167943712323904,0.015835093334317207,0.47938191375322414,0.10288847982883453,0.9777485132217407
14,0.005288536660373211,0.0319163054227829,0.26012491890971556,0.17935024201869965,0.8431386351585388,0.004156329669058323,0.026935115456581116,0.26088147961146335,0.15329979360103607,0.8635090589523315,0.0027871341444551945,0.02287270873785019,0.2507861561755793,0.07474375516176224,0.8535826802253723
15,0.00982851441949606,0.02662951871752739,0.49110135321658865,0.2435758262872696,0.9619214534759521,0.007866223342716694,0.021854639053344727,0.49110135321658865,0.16701681911945343,0.9676101207733154,0.004612334072589874,0.01731695421040058,0.48557334760219667,0.03443516790866852,0.9685884714126587
16,0.007893388159573078,0.027488717809319496,0.40719231111578164,0.21216696500778198,0.9294105172157288,0.006994870491325855,0.025237124413251877,0.4076828995485585,0.1851046085357666,0.9406409859657288,0.003665363183245063,0.018549300730228424,0.3519667949837288,0.1526535302400589,0.9646120071411133
17,0.005204911809414625,0.0251273512840271,0.31371063335006383,0.20204226672649384,0.9617712497711182,0.003993561957031488,0.02232273668050766,0.307992578975184,0.17258518934249878,0.9557891488075256,0.0018473133677616715,0.014557665213942528,0.2915917013536055,0.0718381330370903,0.971643328666687
18,0.008890287950634956,0.032016053795814514,0.4211651339917561,0.23345452547073364,0.8892600536346436,0.007547174114733934,0.028634972870349884,0.41810220744643534,0.21326901018619537,0.901797354221344,0.004470403306186199,0.022710833698511124,0.4107790623400197,0.11026518046855927,0.8955413103103638
19,0.008884619921445847,0.03475182503461838,0.36562012889258194,0.2582502067089081,0.9050764441490173,0.007563347462564707,0.031907930970191956,0.3587090292407007,0.23851408064365387,0.8868705034255981,0.0059014661237597466,0.0265372134745121,0.3562844109228957,0.2067655622959137,0.9044209718704224
20,0.01730865053832531,0.03396753594279289,0.6825647293039045,0.3402818739414215,0.9493585824966431,0.016069144010543823,0.032165318727493286,0.6825647293039045,0.32852065563201904,0.9379243850708008,0.007758749183267355,0.018223753198981285,0.6704879460001547,0.1493990272283554,0.9730433225631714
21,0.006243835669010878,0.028313707560300827,0.3546775774471068,0.19973331689834595,0.9380675554275513,0.0059553226456046104,0.027597874402999878,0.3525865686590212,0.1854536533355713,0.9186741709709167,0.005166048649698496,0.02165687456727028,0.3454200641827747,0.18186524510383606,0.9428000450134277
