idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,global_chamfer_l2,global_chamfer_l1,global_hausdorff,global_hausdorff95,global_normal_consistency,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency
0,0.013703742995858192,0.03773380070924759,0.5275409188603347,0.28288981318473816,0.9312079548835754,0.012808484956622124,0.03467751666903496,0.5275409188603347,0.26865050196647644,0.936927318572998,0.007128187455236912,0.027249250560998917,0.4974722295946505,0.13006441295146942,0.9439581632614136
1,0.01846872642636299,0.04597202315926552,0.5023994984401793,0.3687644898891449,0.9376958608627319,0.015621257945895195,0.04257223755121231,0.5023994984401793,0.33913594484329224,0.9219512343406677,0.013915486633777618,0.034017544239759445,0.5026629583203425,0.3423702120780945,0.9569851160049438
2,0.009115276858210564,0.03857573866844177,0.3228968132232743,0.17462033033370972,0.8965681195259094,0.008944511413574219,0.03830346465110779,0.3227824257674026,0.1734379678964615,0.8907957077026367,0.005276450887322426,0.026474416255950928,0.29667505005758676,0.12145663797855377,0.9153176546096802
3,0.007855833508074284,0.033552974462509155,0.3216403443782565,0.23591573536396027,0.935615599155426,0.006550233345478773,0.027904514223337173,0.3218560477112154,0.2090628743171692,0.9513071775436401,0.005463701672852039,0.025106064975261688,0.2842011722164355,0.20295973122119904,0.952677309513092
4,0.016885362565517426,0.04212643951177597,0.587213804661752,0.33709514141082764,0.9390268325805664,0.014182746410369873,0.039963945746421814,0.587213804661752,0.27132517099380493,0.9131882786750793,0.006251218728721142,0.022905897349119186,0.5729214552476918,0.1412685215473175,0.9701151847839355
5,0.009448505938053131,0.030229132622480392,0.3463472733731865,0.273030549287796,0.9765579700469971,0.00796539057046175,0.026182861998677254,0.3442068423801596,0.2592700719833374,0.9828915596008301,0.003577195340767503,0.016808927059173584,0.3261633774798322,0.1467650830745697,0.9808926582336426
6,0.0038328494410961866,0.028004486113786697,0.2549155349480817,0.12154599279165268,0.9560476541519165,0.003524243598803878,0.027571093291044235,0.2549155349480817,0.11151373386383057,0.9409981369972229,0.0015687899431213737,0.016926031559705734,0.2512922268583311,0.05861610174179077,0.9696192145347595
7,0.01113539282232523,0.051214270293712616,0.3355154113761745,0.23415613174438477,0.846764326095581,0.011359944939613342,0.051597706973552704,0.3355154113761745,0.22318539023399353,0.8114836812019348,0.008081681095063686,0.041662074625492096,0.33195242226540406,0.20917879045009613,0.8716306686401367
8,0.007373882457613945,0.04250051826238632,0.2612933216954003,0.14511063694953918,0.9027659893035889,0.008086861111223698,0.04433640092611313,0.2612933216954003,0.14439396560192108,0.8582935333251953,0.003317765425890684,0.025316085666418076,0.256751333015941,0.09576798230409622,0.9369868040084839
9,0.02051304467022419,0.04113547503948212,0.6168523916876697,0.37495487928390503,0.9503384232521057,0.016721107065677643,0.03836026042699814,0.6202971430109879,0.3229607045650482,0.9471414089202881,0.007694894913583994,0.023915713652968407,0.5764796841078106,0.1930830180644989,0.972255527973175
10,0.01076644565910101,0.039323873817920685,0.4079782697135991,0.2601364552974701,0.940129280090332,0.009627670049667358,0.03656711056828499,0.40630340225181044,0.25629347562789917,0.9410480260848999,0.003951922990381718,0.02145404927432537,0.3302112852480059,0.14993762969970703,0.9782171845436096
11,0.011632283218204975,0.03464234247803688,0.4889837475827652,0.2937076687812805,0.952328085899353,0.009502566419541836,0.03088396042585373,0.48588239780561854,0.22959424555301666,0.9531773328781128,0.004342110361903906,0.021189440041780472,0.45429709541925545,0.11660647392272949,0.9751417636871338
