N,classical_chamfer_l2,learned_chamfer_l2,raw_j_valid_rate,raw_cap_safe_rate,raw_safe_rate,post_j_valid_rate,post_cap_safe_rate,post_safe_rate,projection_activation_rate,projected_object_count,raw_chamfer_l2_projection_eval,post_chamfer_l2,chamfer_l2_projection_delta,chamfer_l2_projection_delta_pct,alpha_mean_projected,alpha_median_projected,alpha_min_projected,stage_cap_all_count,stage_cap_all_alpha_mean,stage_tangent_count,stage_tangent_alpha_mean,stage_all_count,stage_all_alpha_mean,raw_mean_negative_j_fraction,raw_mean_degenerate_fraction,raw_mean_cap_fold,raw_worst_cap_fold,post_worst_cap_fold,raw_evaluators_match,classical_cap_safe_rate,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_j_valid_rate,classical_normal_consistency,classical_safe_rate,hausdorff_projection_delta,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency,post_hausdorff,projection_raw_cap_safe_rate,projection_raw_j_valid_rate,projection_raw_safe_rate,raw_hausdorff_projection_eval,raw_worst_cap_fold_projection_eval,stage_all_alpha_median,stage_all_alpha_min,stage_all_rate,stage_cap_all_alpha_median,stage_cap_all_alpha_min,stage_cap_all_rate,stage_tangent_alpha_median,stage_tangent_alpha_min,stage_tangent_rate
9,0.0074330651620402935,0.004729267176007852,0.83,1.0,0.83,1.0,1.0,1.0,0.17,17,0.004729267176007852,0.004881521197967231,0.00015225402195937886,3.2193998835968087,0.27517899585970607,0.14180446416139603,0.008133477065712214,0,nan,7,0.4003456254221029,10,0.1875623551660283,0.0004924841772151899,0.0,3.389660269021988e-06,0.0003389660269021988,0.0003389660269021988,1,1.0,0.02978015974164009,0.35718320313691576,0.20016792867332697,1.0,0.932877739071846,1.0,0.0007441659671668654,0.02343258436769247,0.35230048936616926,0.1301411821693182,0.9443410968780518,0.3530446553333361,1.0,0.83,0.83,0.35230048936616926,0.0003389660269021988,0.12451047264039516,0.008133477065712214,0.1,nan,nan,0.0,0.14180446416139603,0.015307408291846514,0.07
11,0.0060711291321786124,0.003795084252487868,0.87,0.98,0.86,1.0,1.0,1.0,0.14,14,0.003795084252487868,0.0038880624854937197,9.297823300585166e-05,2.4499649235692136,0.45612823896577276,0.34627391397862084,0.03571044094860554,1,0.9831357896318877,7,0.5032396348451584,6,0.3133303519954704,0.00029235197368421046,0.0,0.00010586947293631965,0.0015148593811318278,0.000999908777885139,1,1.0,0.02532977232709527,0.36343373194047174,0.17498510878533124,1.0,0.9443451923131942,1.0,5.115851388381998e-05,0.019302107756957412,0.35596387645836514,0.09991259172558785,0.9600584441423416,0.35601503497224896,0.98,0.87,0.86,0.35596387645836514,0.0015148593811318278,0.2647711746390087,0.052563512697815895,0.06,0.9831357896318877,0.9831357896318877,0.01,0.6492105424395049,0.03571044094860554,0.07
15,0.003885285137221217,0.0025421727396314963,0.92,1.0,0.92,1.0,1.0,1.0,0.08,8,0.0025421727396314963,0.002564704759861343,2.2532020229846465e-05,0.886329236348928,0.3961825958680265,0.3239733725777114,0.024838312528117967,0,nan,3,0.5889669160045136,5,0.2805120037861343,0.00016363188976377952,0.0,1.4975675876485184e-05,0.0005526881432160735,0.0005526881432160735,1,1.0,0.01965791712515056,0.33204052129408546,0.11954986803233623,1.0,0.9515752732753754,1.0,0.00015966284602286773,0.016049217684194445,0.33062446564432385,0.06276739517226815,0.9640531504154205,0.3307841284903467,1.0,0.92,0.92,0.33062446564432385,0.0005526881432160735,0.08101550862102158,0.024838312528117967,0.05,nan,nan,0.0,0.39295394718647003,0.37775932252316125,0.03
