index,raw_j_valid,raw_cap_safe,raw_safe,raw_negative_jacobian,raw_negative_fraction,raw_degenerate,raw_degenerate_fraction,raw_minimum_signed_jacobian,raw_minimum_area_scale,raw_base_cap_fold_max,raw_crown_cap_fold_max,raw_cap_fold,raw_chamfer_l2,raw_hausdorff,projection_activated,projection_stage,alpha,retained_percent,post_j_valid,post_cap_safe,post_safe,post_negative_jacobian,post_negative_fraction,post_degenerate,post_degenerate_fraction,post_minimum_signed_jacobian,post_minimum_area_scale,post_base_cap_fold_max,post_crown_cap_fold_max,post_cap_fold,post_chamfer_l2,post_hausdorff,delta_chamfer_l2
0,0,1,0,5,0.00015378937007874016,0,0.0,-0.008393612690269947,0.002358407014980912,0.0,0.0,0.0,0.005601145327091217,0.3686008442660519,1,tangent,0.39295394718647003,39.295394718647,1,1,1,0,0.0,0,0.0,3.586743559935712e-07,0.0024864929728209972,0.0,0.0,0.0,0.005851890426129103,0.3684527937066344,0.00025074509903788567
1,1,1,1,0,0.0,0,0.0,0.1667231023311615,0.1667286604642868,0.0,0.0,0.0,0.0014138976112008095,0.1839579763729424,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.1667231023311615,0.1667286604642868,0.0,0.0,0.0,0.0014138976112008095,0.1839579763729424,0.0
2,1,1,1,0,0.0,0,0.0,0.1925298124551773,0.20189598202705383,0.0,0.0005526881432160735,0.0005526881432160735,0.0031902126502245665,0.5006564123083063,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.1925298124551773,0.20189598202705383,0.0,0.0005526881432160735,0.0005526881432160735,0.0031902126502245665,0.5006564123083063,0.0
3,1,1,1,0,0.0,0,0.0,0.05407649651169777,0.054189443588256836,0.0,0.0,0.0,0.0011837315978482366,0.20490373735514816,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.05407649651169777,0.054189443588256836,0.0,0.0,0.0,0.0011837315978482366,0.20490373735514816,0.0
4,1,1,1,0,0.0,0,0.0,0.022632310166954994,0.022632313892245293,0.0,0.00022244056162890047,0.00022244056162890047,0.0037257387302815914,0.49463563935196275,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.022632310166954994,0.022632313892245293,0.0,0.00022244056162890047,0.00022244056162890047,0.0037257387302815914,0.49463563935196275,0.0
5,0,1,0,128,0.003937007874015748,0,0.0,-0.01216687448322773,0.02416950650513172,0.0,0.0,0.0,0.002484175143763423,0.3442451638690277,1,tangent,0.37775932252316125,37.775932252316125,1,1,1,0,0.0,0,0.0,2.8298236429691315e-06,0.01396013330668211,0.0,0.0,0.0,0.002632402814924717,0.3442451638690277,0.00014822767116129398
6,1,1,1,0,0.0,0,0.0,0.09868063032627106,0.09926028549671173,0.0,0.0,0.0,0.0010914640733972192,0.24249456535964647,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.09868063032627106,0.09926028549671173,0.0,0.0,0.0,0.0010914640733972192,0.24249456535964647,0.0
7,1,1,1,0,0.0,0,0.0,0.11527534574270248,0.11595864593982697,0.0,0.0,0.0,0.0016349927755072713,0.29185312844694755,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.11527534574270248,0.11595864593982697,0.0,0.0,0.0,0.0016349927755072713,0.29185312844694755,0.0
8,1,1,1,0,0.0,0,0.0,0.13916900753974915,0.1392747163772583,0.0,0.0,0.0,0.0030135700944811106,0.44375174548920676,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.13916900753974915,0.1392747163772583,0.0,0.0,0.0,0.0030135700944811106,0.44375174548920676,0.0
9,1,1,1,0,0.0,0,0.0,0.10729276388883591,0.12759163975715637,0.0,0.0,0.0,0.0008902517147362232,0.216617750796064,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.10729276388883591,0.12759163975715637,0.0,0.0,0.0,0.0008902517147362232,0.216617750796064,0.0
