idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,classical_geom_jacobian_valid,classical_geom_negative_jacobian,classical_geom_negative_fraction,classical_geom_degenerate,classical_geom_degenerate_fraction,classical_geom_minimum_signed_jacobian,classical_geom_minimum_area_scale,classical_geom_base_cap_fold_max,classical_geom_crown_cap_fold_max,classical_geom_cap_fold_max,classical_geom_cap_safe,classical_geom_safe,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency,learned_geom_jacobian_valid,learned_geom_negative_jacobian,learned_geom_negative_fraction,learned_geom_degenerate,learned_geom_degenerate_fraction,learned_geom_minimum_signed_jacobian,learned_geom_minimum_area_scale,learned_geom_base_cap_fold_max,learned_geom_crown_cap_fold_max,learned_geom_cap_fold_max,learned_geom_cap_safe,learned_geom_safe
10,0.0034412997774779797,0.01709194853901863,0.38120629576030335,0.04856321960687637,0.9753761291503906,True,0,0.0,0,0.0,0.10211081802845001,0.10211081802845001,0.0,0.0,0.0,True,True,0.0019481489434838295,0.013981898315250874,0.38316809428984605,0.02248319238424301,0.9824112057685852,True,0,0.0,0,0.0,0.2087985724210739,0.20879870653152466,0.0,0.0,0.0,True,True
11,0.0008330129785463214,0.013005215674638748,0.13665944584324785,0.05078466236591339,0.9685797691345215,True,0,0.0,0,0.0,0.03147703409194946,0.031477030366659164,0.0,0.0,0.0,True,True,0.0006662780651822686,0.01182293426245451,0.13424093966749673,0.04834868758916855,0.9714359045028687,True,0,0.0,0,0.0,0.021320907399058342,0.02558603137731552,0.0,0.0,0.0,True,True
12,0.0033922146540135145,0.018064234405755997,0.3443487328344443,0.05677127465605736,0.9589840769767761,True,0,0.0,0,0.0,0.08928447961807251,0.08928447961807251,0.0,0.0,0.0,True,True,0.002470910781994462,0.015789655968546867,0.36492315077757737,0.029480619356036186,0.9803802371025085,True,0,0.0,0,0.0,0.09110962599515915,0.09208955615758896,0.0,0.0,0.0,True,True
13,0.0029957247897982597,0.020720111206173897,0.251475035821973,0.11610744893550873,0.9421157836914062,True,0,0.0,0,0.0,0.03480425477027893,0.03480425104498863,0.0,0.0,0.0,True,True,0.0020400630310177803,0.01702110469341278,0.25269511476545253,0.0685766413807869,0.9618712663650513,True,0,0.0,0,0.0,0.06883398443460464,0.06889254599809647,0.0,0.0,0.0,True,True
14,0.003538301680237055,0.01709255948662758,0.3291807447312152,0.062427740544080734,0.9721042513847351,True,0,0.0,0,0.0,0.0021715008188039064,0.0021715008188039064,0.0,0.0,0.0,True,True,0.0031837013084441423,0.01623353362083435,0.33209497176915076,0.04329141974449158,0.9753109216690063,True,0,0.0,0,0.0,0.004262850154191256,0.004282029811292887,0.0,0.0,0.0,True,True
15,0.0019125675316900015,0.020712289959192276,0.1691425913636962,0.07610221952199936,0.917382001876831,True,0,0.0,0,0.0,0.0006029303185641766,0.0006029302603565156,0.0,0.0,0.0,True,True,0.001317592104896903,0.017525669187307358,0.165468813245075,0.0512651652097702,0.9159449934959412,False,1,3.075787401574803e-05,0,0.0,-9.221270374837331e-06,0.0005186910857446492,0.0,0.0,0.0,True,False
16,0.005685283802449703,0.026997797191143036,0.3555425211053733,0.19119137525558472,0.9213194251060486,True,0,0.0,0,0.0,0.0738777369260788,0.0738777369260788,0.0,0.0,0.0,True,True,0.0033121476881206036,0.021099239587783813,0.3339083512543114,0.06684017926454544,0.9412038922309875,True,0,0.0,0,0.0,0.08556311577558517,0.08556622266769409,0.0,0.0,0.0,True,True
17,0.0037340177223086357,0.01809442788362503,0.3085388786688794,0.1730984002351761,0.9532961845397949,True,0,0.0,0,0.0,0.0021942839957773685,0.0021942839957773685,0.0,0.0,0.0,True,True,0.003175188787281513,0.016329005360603333,0.323038549904065,0.14638131856918335,0.9623894095420837,True,0,0.0,0,0.0,0.0028641694225370884,0.0028642357792705297,0.0,0.0,0.0,True,True
18,0.0030131463427096605,0.019263073801994324,0.26784840041607433,0.11643961071968079,0.9639905095100403,True,0,0.0,0,0.0,0.002083311788737774,0.002083311788737774,0.0,0.0,0.0,True,True,0.002436996903270483,0.016654785722494125,0.2674337261982978,0.08017536997795105,0.9657884240150452,True,0,0.0,0,0.0,0.0035160628613084555,0.003532225266098976,0.0,0.0,0.0,True,True
19,0.009401853196322918,0.026106644421815872,0.5194078169736457,0.2598678171634674,0.9277458786964417,True,0,0.0,0,0.0,0.16597524285316467,0.16597521305084229,0.0,0.0,0.0,True,True,0.0060179103165864944,0.020357297733426094,0.5205114482588048,0.1417005956172943,0.9660705924034119,True,0,0.0,0,0.0,0.22276955842971802,0.23472414910793304,0.0,0.0,0.0,True,True
20,0.006333963014185429,0.022605817764997482,0.4146412098165265,0.20987257361412048,0.9431013464927673,True,0,0.0,0,0.0,0.0842328816652298,0.0842328742146492,0.0,0.0,0.0,True,True,0.004062729887664318,0.017524857074022293,0.42510822895554695,0.10773639380931854,0.9785372614860535,True,0,0.0,0,0.0,0.1609279215335846,0.16787037253379822,0.0,0.0,0.0,True,True
21,0.0036021259147673845,0.02035442180931568,0.3195845426592934,0.15010769665241241,0.9702953696250916,True,0,0.0,0,0.0,0.051423393189907074,0.051423393189907074,0.0,0.0,0.0,True,True,0.002011895179748535,0.015263968147337437,0.3293690372738034,0.050114184617996216,0.9832828044891357,True,0,0.0,0,0.0,0.16977156698703766,0.170809805393219,0.0,0.0,0.0,True,True
22,0.003859901800751686,0.018420983105897903,0.31225520321059014,0.16395463049411774,0.9492605328559875,True,0,0.0,0,0.0,0.05833780765533447,0.05833780765533447,0.0,0.0,0.0,True,True,0.0023536772932857275,0.014200400561094284,0.30621424875027503,0.08497639745473862,0.9760213494300842,True,0,0.0,0,0.0,0.13418054580688477,0.13439255952835083,0.0,0.0,0.0,True,True
23,0.005230211187154055,0.022514285519719124,0.39381161767727263,0.18885333836078644,0.9194634556770325,True,0,0.0,0,0.0,0.08421877026557922,0.08421877026557922,0.0,0.0,0.0,True,True,0.0034890654496848583,0.018382541835308075,0.3817881678678654,0.10693562030792236,0.9507771134376526,True,0,0.0,0,0.0,0.10757867991924286,0.11787537485361099,0.0,0.0,0.0,True,True
