idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,classical_geom_jacobian_valid,classical_geom_negative_jacobian,classical_geom_negative_fraction,classical_geom_degenerate,classical_geom_degenerate_fraction,classical_geom_minimum_signed_jacobian,classical_geom_minimum_area_scale,classical_geom_base_cap_fold_max,classical_geom_crown_cap_fold_max,classical_geom_cap_fold_max,classical_geom_cap_safe,classical_geom_safe,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency,learned_geom_jacobian_valid,learned_geom_negative_jacobian,learned_geom_negative_fraction,learned_geom_degenerate,learned_geom_degenerate_fraction,learned_geom_minimum_signed_jacobian,learned_geom_minimum_area_scale,learned_geom_base_cap_fold_max,learned_geom_crown_cap_fold_max,learned_geom_cap_fold_max,learned_geom_cap_safe,learned_geom_safe
0,0.0007944863173179328,0.015867389738559723,0.0907287135735172,0.050091639161109924,0.9158654808998108,True,0,0.0,0,0.0,0.00020717283769045025,0.00020717283769045025,0.0,0.0,0.0,True,True,0.0007637094240635633,0.015692466869950294,0.08978319200379875,0.04834751412272453,0.917572557926178,False,25,0.0010279605263157894,0,0.0,-1.1373231410980225,0.001494669122621417,0.0,0.0,0.0,True,False
1,0.0007786010974086821,0.014332197606563568,0.21428899233870902,0.026383614167571068,0.9555782675743103,True,0,0.0,0,0.0,0.017208939418196678,0.017208939418196678,0.0,0.0,0.0,True,True,0.0007167577859945595,0.014165202155709267,0.20490424641369503,0.02752894163131714,0.9634072184562683,True,0,0.0,0,0.0,0.012262201867997646,0.029788998886942863,0.0,0.0,0.0,True,True
2,0.0014504503924399614,0.0208301842212677,0.12109424221800164,0.07242412120103836,0.9349261522293091,True,0,0.0,0,0.0,0.004361386876553297,0.00436138641089201,0.0,0.0,0.0,True,True,0.0014230171218514442,0.020941514521837234,0.11991356438783035,0.06482841819524765,0.9363600611686707,False,8,0.0003289473684210526,0,0.0,-0.06639090925455093,0.012883261777460575,0.0,0.0,0.0,True,False
3,0.0012591443955898285,0.020235812291502953,0.19633719580052325,0.042287927120923996,0.9476485848426819,True,0,0.0,0,0.0,0.015271758660674095,0.015271758660674095,0.0,0.0,0.0,True,True,0.0010581406531855464,0.018984517082571983,0.2017978447548563,0.03675783425569534,0.9596218466758728,False,1,4.111842105263158e-05,0,0.0,-0.010478450916707516,0.04409005120396614,0.0003212986921425909,0.0,0.0003212986921425909,True,False
4,0.0035066059790551662,0.025223618373274803,0.17649763675524568,0.13000309467315674,0.951246976852417,True,0,0.0,0,0.0,0.04735459014773369,0.04735458642244339,0.0,0.0,0.0,True,True,0.002912488766014576,0.02252093330025673,0.1821177788574651,0.10966234654188156,0.9463694095611572,True,0,0.0,0,0.0,0.1707490086555481,0.1708117574453354,1.2789631000487134e-05,0.0,1.2789631000487134e-05,True,True
5,0.001558263087645173,0.021018285304307938,0.0670613867086471,0.053584855049848557,0.8887410759925842,True,0,0.0,0,0.0,0.010198760777711868,0.010198761709034443,0.0,0.0,0.0,True,True,0.001782537903636694,0.022135501727461815,0.08750968340952973,0.06050213426351547,0.9091241955757141,False,457,0.018791118421052633,0,0.0,-0.9995728731155396,0.026098625734448433,0.0041523221880197525,0.0,0.0041523221880197525,False,False
6,0.0003607564140111208,0.010816426947712898,0.08796383404843619,0.031541235744953156,0.8758750557899475,True,0,0.0,0,0.0,0.0034288500901311636,0.00342884985730052,0.0,0.0,0.0,True,True,0.000314130651531741,0.010329600423574448,0.06532757890751784,0.029190989211201668,0.8769052624702454,False,1,4.111842105263158e-05,0,0.0,-0.017529459670186043,0.006894394289702177,0.0006709458539262414,0.0,0.0006709458539262414,True,False
7,0.0006306094583123922,0.012972109019756317,0.14724858258743917,0.03708815574645996,0.9449456930160522,True,0,0.0,0,0.0,0.020909888669848442,0.020909888669848442,0.0,0.0,0.0,True,True,0.0004971697926521301,0.012069480493664742,0.13459169525214834,0.032917432487010956,0.9535731077194214,True,0,0.0,0,0.0,0.07400551438331604,0.07401709258556366,0.0,0.0,0.0,True,True
8,0.00175736122764647,0.02113424986600876,0.2929512018670324,0.056124791502952576,0.9127594232559204,True,0,0.0,0,0.0,0.0063374959863722324,0.0063374959863722324,0.0,0.0,0.0,True,True,0.0017838460626080632,0.02161213755607605,0.2947620185977212,0.053923316299915314,0.9147160053253174,False,65,0.0026726973684210527,0,0.0,-3.3944199085235596,0.004026294685900211,0.0004716206749435514,0.0,0.0004716206749435514,True,False
9,0.0005397419445216656,0.011511551216244698,0.05568708186428781,0.043527260422706604,0.9660771489143372,True,0,0.0,0,0.0,0.10822930932044983,0.10822930932044983,0.0,0.0,0.0,True,True,0.00029081074171699584,0.009431800805032253,0.048482664647916215,0.029885290190577507,0.9797328114509583,True,0,0.0,0,0.0,0.23234859108924866,0.23241446912288666,0.0,0.0,0.0,True,True
