index,raw_j_valid,raw_cap_safe,raw_safe,raw_negative_jacobian,raw_negative_fraction,raw_degenerate,raw_degenerate_fraction,raw_minimum_signed_jacobian,raw_minimum_area_scale,raw_base_cap_fold_max,raw_crown_cap_fold_max,raw_cap_fold,raw_chamfer_l2,raw_hausdorff,projection_activated,projection_stage,alpha,retained_percent,post_j_valid,post_cap_safe,post_safe,post_negative_jacobian,post_negative_fraction,post_degenerate,post_degenerate_fraction,post_minimum_signed_jacobian,post_minimum_area_scale,post_base_cap_fold_max,post_crown_cap_fold_max,post_cap_fold,post_chamfer_l2,post_hausdorff,delta_chamfer_l2
0,0,1,0,25,0.0010279605263157894,0,0.0,-1.1373231410980225,0.001494669122621417,0.0,0.0,0.0,0.0007637094240635633,0.08978319200379875,1,all,0.27139155566601403,27.139155566601403,1,1,1,0,0.0,0,0.0,0.00039759185165166855,0.0004176343500148505,0.0,0.0,0.0,0.0007791530806571245,0.09019938859943821,1.5443656593561172e-05
1,1,1,1,0,0.0,0,0.0,0.012262201867997646,0.029788998886942863,0.0,0.0,0.0,0.0007167577859945595,0.20490424641369503,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.012262201867997646,0.029788998886942863,0.0,0.0,0.0,0.0007167577859945595,0.20490424641369503,0.0
2,0,1,0,8,0.0003289473684210526,0,0.0,-0.06639090925455093,0.012883261777460575,0.0,0.0,0.0,0.0014230171218514442,0.11991356438783035,1,all,0.3705217093220199,37.05217093220199,1,1,1,0,0.0,0,0.0,1.6886042430996895e-07,0.005935790948569775,0.0,0.0,0.0,0.0014141269493848085,0.12041455575620083,-8.890172466635704e-06
3,0,1,0,1,4.111842105263158e-05,0,0.0,-0.010478450916707516,0.04409005120396614,0.0003212986921425909,0.0,0.0003212986921425909,0.0010581406531855464,0.2017978447548563,1,all,0.8153343498706818,81.53343498706818,1,1,1,0,0.0,0,0.0,6.035552360117435e-07,0.031617190688848495,0.0,0.0,0.0,0.0011083928402513266,0.18471912661884954,5.025218706578016e-05
4,1,1,1,0,0.0,0,0.0,0.1707490086555481,0.1708117574453354,1.2789631000487134e-05,0.0,1.2789631000487134e-05,0.002912488766014576,0.1821177788574651,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.1707490086555481,0.1708117574453354,1.2789631000487134e-05,0.0,1.2789631000487134e-05,0.002912488766014576,0.1821177788574651,0.0
5,0,0,0,457,0.018791118421052633,0,0.0,-0.9995728731155396,0.026098625734448433,0.0041523221880197525,0.0,0.0041523221880197525,0.001782537903636694,0.08750968340952973,1,all,0.22764011472372658,22.76401147237266,1,1,1,0,0.0,0,0.0,6.221234798431396e-07,0.013362220488488674,0.0,0.0,0.0,0.0015832817880436778,0.06721896831879572,-0.00019925611559301615
6,0,1,0,1,4.111842105263158e-05,0,0.0,-0.017529459670186043,0.006894394289702177,0.0006709458539262414,0.0,0.0006709458539262414,0.000314130651531741,0.06532757890751784,1,tangent,0.8317020237445831,83.17020237445831,1,1,1,0,0.0,0,0.0,2.417946234345436e-07,0.006794732995331287,0.0001728810602799058,0.0,0.0001728810602799058,0.00031484838109463453,0.06595322407902783,7.177295628935099e-07
7,1,1,1,0,0.0,0,0.0,0.07400551438331604,0.07401709258556366,0.0,0.0,0.0,0.0004971697926521301,0.13459169525214834,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.07400551438331604,0.07401709258556366,0.0,0.0,0.0,0.0004971697926521301,0.13459169525214834,0.0
8,0,1,0,65,0.0026726973684210527,0,0.0,-3.3944199085235596,0.004026294685900211,0.0004716206749435514,0.0,0.0004716206749435514,0.0017838460626080632,0.2947620185977212,1,all,0.06190728954879887,6.190728954879887,1,1,1,0,0.0,0,0.0,0.005966263823211193,0.006017119623720646,0.0,0.0,0.0,0.0017532685305923223,0.2930518986010266,-3.057753201574087e-05
9,1,1,1,0,0.0,0,0.0,0.23234859108924866,0.23241446912288666,0.0,0.0,0.0,0.00029081074171699584,0.048482664647916215,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.23234859108924866,0.23241446912288666,0.0,0.0,0.0,0.00029081074171699584,0.048482664647916215,0.0
10,1,1,1,0,0.0,0,0.0,0.002225082367658615,0.012439236044883728,0.0001797563600121066,0.0,0.0001797563600121066,0.0004687260079663247,0.07437773040359726,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.002225082367658615,0.012439236044883728,0.0001797563600121066,0.0,0.0001797563600121066,0.0004687260079663247,0.07437773040359726,0.0
11,1,1,1,0,0.0,0,0.0,0.0987652987241745,0.09878621250391006,3.6197689041728154e-05,0.0,3.6197689041728154e-05,0.0006264862604439259,0.13877263907939646,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.0987652987241745,0.09878621250391006,3.6197689041728154e-05,0.0,3.6197689041728154e-05,0.0006264862604439259,0.13877263907939646,0.0
12,1,1,1,0,0.0,0,0.0,0.0027061549481004477,0.003850421169772744,0.0002626461791805923,0.0,0.0002626461791805923,0.00022661432740278542,0.06207776494837518,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.0027061549481004477,0.003850421169772744,0.0002626461791805923,0.0,0.0002626461791805923,0.00022661432740278542,0.06207776494837518,0.0
13,1,1,1,0,0.0,0,0.0,0.04296527057886124,0.04363669082522392,0.0,0.0,0.0,0.003512574825435877,0.5034491365628212,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.04296527057886124,0.04363669082522392,0.0,0.0,0.0,0.003512574825435877,0.5034491365628212,0.0
14,1,1,1,0,0.0,0,0.0,0.04264510050415993,0.04268954321742058,0.0,0.0,0.0,0.002358351368457079,0.1375710217246771,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.04264510050415993,0.04268954321742058,0.0,0.0,0.0,0.002358351368457079,0.1375710217246771,0.0
15,0,1,0,235,0.009662828947368422,0,0.0,-6.664827346801758,0.006747817154973745,0.0,0.0,0.0,0.004212977364659309,0.2533330315637255,1,all,0.021053613163530827,2.1053613163530827,1,1,1,0,0.0,0,0.0,2.1434971131384373e-08,0.0006950434180907905,0.0,0.0,0.0,0.00468125194311142,0.2561797255010874,0.0004682745784521103
16,1,0,0,0,0.0,0,0.0,0.001804626896046102,0.0018088080687448382,0.0013288649497553706,0.0,0.0013288649497553706,0.0005547552718780935,0.09359473543969786,1,cap_all,0.9926131069660187,99.26131069660187,1,1,1,0,0.0,0,0.0,0.001795783988200128,0.0017999210394918919,0.0009999944595620036,0.0,0.0009999944595620036,0.000557941384613514,0.09422816582977653,3.1861127354204655e-06
17,1,1,1,0,0.0,0,0.0,0.04948623105883598,0.05046187713742256,5.961882197880186e-05,0.0,5.961882197880186e-05,0.00038259878056123853,0.14881007593200074,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.04948623105883598,0.05046187713742256,5.961882197880186e-05,0.0,5.961882197880186e-05,0.00038259878056123853,0.14881007593200074,0.0
18,1,1,1,0,0.0,0,0.0,0.08453473448753357,0.08456749469041824,9.964174387278035e-05,0.0,9.964174387278035e-05,0.009045945480465889,0.20500369764982368,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.08453473448753357,0.08456749469041824,9.964174387278035e-05,0.0,9.964174387278035e-05,0.009045945480465889,0.20500369764982368,0.0
19,1,1,1,0,0.0,0,0.0,0.019347665831446648,0.019353419542312622,0.0,0.0,0.0,0.00044439625344239175,0.07498536277532944,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.019347665831446648,0.019353419542312622,0.0,0.0,0.0,0.00044439625344239175,0.07498536277532944,0.0
20,0,1,0,164,0.006743421052631579,0,0.0,-0.025456029921770096,1.963506110769231e-05,0.0006941902684047818,0.0,0.0006941902684047818,0.0007072524749673903,0.12090846853594515,1,all,0.028708915225251985,2.8708915225251985,1,1,1,0,0.0,0,0.0,1.2607051758095622e-07,6.709928584314184e-06,0.0,0.0,0.0,0.0008710175170563161,0.1195082659533533,0.00016376504208892584
