idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,classical_geom_jacobian_valid,classical_geom_negative_jacobian,classical_geom_negative_fraction,classical_geom_degenerate,classical_geom_degenerate_fraction,classical_geom_minimum_signed_jacobian,classical_geom_minimum_area_scale,classical_geom_base_cap_fold_max,classical_geom_crown_cap_fold_max,classical_geom_cap_fold_max,classical_geom_cap_safe,classical_geom_safe,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency,learned_geom_jacobian_valid,learned_geom_negative_jacobian,learned_geom_negative_fraction,learned_geom_degenerate,learned_geom_degenerate_fraction,learned_geom_minimum_signed_jacobian,learned_geom_minimum_area_scale,learned_geom_base_cap_fold_max,learned_geom_crown_cap_fold_max,learned_geom_cap_fold_max,learned_geom_cap_safe,learned_geom_safe
0,0.0012021898292005062,0.017515059560537338,0.11690384788640466,0.06855687499046326,0.9080603122711182,True,0,0.0,0,0.0,0.0003699158551171422,0.00036991582601331174,0.0,0.0,0.0,True,True,0.0011759789194911718,0.01726943626999855,0.11582999743774064,0.06907276809215546,0.9082522392272949,False,4,0.00012303149606299212,0,0.0,-0.045431915670633316,0.00037758416146971285,0.0,0.0,0.0,True,False
1,0.0007501479703933001,0.013935285620391369,0.21736633841580427,0.026566877961158752,0.9593945145606995,True,0,0.0,0,0.0,0.0034912817645817995,0.003491281531751156,0.0,0.0,0.0,True,True,0.0006933966651558876,0.013600923120975494,0.21172664634646907,0.02420029789209366,0.96400386095047,True,0,0.0,0,0.0,0.003671982791274786,0.005328794941306114,0.0,0.0,0.0,True,True
2,0.0009013088420033455,0.01743476837873459,0.11274698484326558,0.045606814324855804,0.9465102553367615,True,0,0.0,0,0.0,0.004755660891532898,0.004755661357194185,0.0,0.0,0.0,True,True,0.0009303456172347069,0.01761973649263382,0.10959167816144258,0.04889665171504021,0.9466392397880554,False,4,0.00012303149606299212,0,0.0,-0.009273904375731945,0.007031446322798729,0.0,0.0,0.0,True,False
3,0.0012509089428931475,0.020138297230005264,0.19334134104467132,0.052388839423656464,0.9353489875793457,True,0,0.0,0,0.0,0.010901516303420067,0.010901516303420067,0.0,0.0,0.0,True,True,0.0011498841922730207,0.01952492818236351,0.19901159211941163,0.04599456116557121,0.9421130418777466,True,0,0.0,0,0.0,0.016199734061956406,0.01620546728372574,0.0,0.0,0.0,True,True
4,0.003996424842625856,0.024752935394644737,0.21630667347626142,0.1408665031194687,0.9507127404212952,True,0,0.0,0,0.0,0.04378519952297211,0.04378519952297211,0.0,0.0,0.0,True,True,0.0039697131142020226,0.024387452751398087,0.22167242769293566,0.1344711035490036,0.9472457766532898,True,0,0.0,0,0.0,0.07650890201330185,0.07702333480119705,0.0,0.0,0.0,True,True
5,0.0006093729170970619,0.01375932339578867,0.051662140719800236,0.03897421434521675,0.9443159699440002,True,0,0.0,0,0.0,0.010542606003582478,0.010542604140937328,0.0,0.0,0.0,True,True,0.000588882714509964,0.013501819223165512,0.05172541342045069,0.03908497467637062,0.9452305436134338,True,0,0.0,0,0.0,0.014757918193936348,0.014758032746613026,0.0,0.0,0.0,True,True
6,0.0003788410103879869,0.010693773627281189,0.1012845270132239,0.03405091166496277,0.8761335611343384,True,0,0.0,0,0.0,0.0021355526987463236,0.0021355526987463236,0.0,0.0,0.0,True,True,0.0003580261254683137,0.010529960505664349,0.09938892578821816,0.03233671560883522,0.8785520195960999,False,5,0.00015378937007874016,0,0.0,-0.013362043537199497,0.0030029481276869774,0.0,0.0,0.0,True,False
7,0.0005810059374198318,0.011578814126551151,0.15240515791756137,0.033480215817689896,0.9558402299880981,True,0,0.0,0,0.0,0.024795059114694595,0.024795059114694595,0.0,0.0,0.0,True,True,0.000523379712831229,0.011086151003837585,0.14527946835067704,0.03065885230898857,0.9591097235679626,True,0,0.0,0,0.0,0.03499022498726845,0.034993626177310944,0.0,0.0,0.0,True,True
8,0.0013792314566671848,0.019336946308612823,0.29993221043562507,0.05000212788581848,0.9113472700119019,True,0,0.0,0,0.0,0.016035251319408417,0.016035251319408417,0.0,0.0,0.0,True,True,0.0012645847164094448,0.018615776672959328,0.3003833541684663,0.04282836616039276,0.9166165590286255,True,0,0.0,0,0.0,0.03416890278458595,0.03416965901851654,0.0,0.0,0.0,True,True
9,0.0005865845596417785,0.011343480087816715,0.07508386056131351,0.056521493941545486,0.9641810059547424,True,0,0.0,0,0.0,0.11979187279939651,0.11979187279939651,0.0,0.0,0.0,True,True,0.00041683801100589335,0.010260231792926788,0.06637842282509968,0.04485681280493736,0.9701840281486511,True,0,0.0,0,0.0,0.20727291703224182,0.2072765976190567,0.0,0.0,0.0,True,True
