N,classical_chamfer_l2,learned_chamfer_l2,raw_j_valid_rate,raw_cap_safe_rate,raw_safe_rate,post_j_valid_rate,post_cap_safe_rate,post_safe_rate,projection_activation_rate,projected_object_count,raw_chamfer_l2_projection_eval,post_chamfer_l2,chamfer_l2_projection_delta,chamfer_l2_projection_delta_pct,alpha_mean_projected,alpha_median_projected,alpha_min_projected,stage_cap_all_count,stage_cap_all_alpha_mean,stage_tangent_count,stage_tangent_alpha_mean,stage_all_count,stage_all_alpha_mean,raw_mean_negative_j_fraction,raw_mean_degenerate_fraction,raw_mean_cap_fold,raw_worst_cap_fold,post_worst_cap_fold,raw_evaluators_match,classical_cap_safe_rate,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_j_valid_rate,classical_normal_consistency,classical_safe_rate,hausdorff_projection_delta,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency,post_hausdorff,projection_raw_cap_safe_rate,projection_raw_j_valid_rate,projection_raw_safe_rate,raw_hausdorff_projection_eval,raw_worst_cap_fold_projection_eval,stage_all_alpha_median,stage_all_alpha_min,stage_all_rate,stage_cap_all_alpha_median,stage_cap_all_alpha_min,stage_cap_all_rate,stage_tangent_alpha_median,stage_tangent_alpha_min,stage_tangent_rate
9,0.001957347192649689,0.0018113051925826333,0.5217391304347826,1.0,0.5217391304347826,1.0,1.0,1.0,0.4782608695652174,11,0.0018113051925826333,0.0018728682429671449,6.15630503845116e-05,3.3988226079522517,0.2778851969417453,0.2466607168316841,0.01271008280946262,0,nan,0,nan,11,0.2778851969417453,0.001350096312603192,0.0,0.0,0.0,0.0,1,1.0,0.01830920977922885,0.15760911203948683,0.07467361183270164,1.0,0.9089812377224797,1.0,0.0004585950958252982,0.01760329549079356,0.15486045245859428,0.0681025470080583,0.91111937035685,0.15531904755441958,1.0,0.5217391304347826,0.5217391304347826,0.15486045245859428,0.0,0.2466607168316841,0.01271008280946262,0.4782608695652174,nan,nan,0.0,nan,nan,0.0
11,0.0017833475874448638,0.0017105205195202004,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,7,0.0017105205195202004,0.0017269312769972853,1.6410757477084868e-05,0.9594013804457646,0.328678369654751,0.23963739722876198,0.024237641133368015,0,nan,1,0.8047133386126006,6,0.2493392081617761,0.0007890820802005012,0.0,0.0,0.0,0.0,1,1.0,0.017465772195940928,0.15535821207824582,0.0702834524036873,1.0,0.9127573399316697,1.0,-0.0002640290547583912,0.017041280111741452,0.15605605700971545,0.06848803499624842,0.9152938922246298,0.15579202795495706,1.0,0.6666666666666666,0.6666666666666666,0.15605605700971545,0.0,0.14570729341266997,0.024237641133368015,0.2857142857142857,nan,nan,0.0,0.8047133386126006,0.8047133386126006,0.047619047619047616
15,0.0014500055085158064,0.001390423995049094,0.8095238095238095,1.0,0.8095238095238095,1.0,1.0,1.0,0.19047619047619047,4,0.001390423995049094,0.001381983799676943,-8.440195372150933e-06,-0.607023138424256,0.3882010614029241,0.4770919308066368,0.028589724562152696,0,nan,1,0.4486028105020523,3,0.368067145036548,0.000270962223472066,0.0,0.0,0.0,0.0,1,1.0,0.015353327794443993,0.15512138105452725,0.066043215227269,1.0,0.9245588836215791,1.0,0.0001415294028936087,0.014917491713450068,0.15337828916599058,0.06309330135229088,0.9274377624193827,0.1535198185688842,1.0,0.8095238095238095,0.8095238095238095,0.15337828916599058,0.0,0.5055810511112213,0.028589724562152696,0.14285714285714285,nan,nan,0.0,0.4486028105020523,0.4486028105020523,0.047619047619047616
