epoch,train_loss,train_chamfer,train_normal,train_jacobian,train_cap_fold,val_chamfer_l2,val_hausdorff,c1_min,j_valid_rate,cap_safe_rate,safe_rate,mean_negative_j_fraction,mean_cap_fold,worst_cap_fold,secs
0,0.012475967633001732,0.003567538835047133,0.0890842863226855,0.0,0.0,0.0015138245289563201,0.1512462907030142,0.050760433077812195,1.0,1.0,1.0,0.0,0.0,0.0,3.599868059158325
5,0.012476380945023412,0.0034522776426676887,0.08585086595172985,0.007967258608666518,0.06169640126101898,0.0013579330216089147,0.14695340919845118,0.11527834832668304,0.75,1.0,0.75,0.0004917198503521127,0.0,0.0,4.4680914878845215
10,0.012109202946620908,0.0034152327606341605,0.08573517778116946,0.007249745420396188,0.0002862471296931758,0.0012916379328089533,0.14625404797002334,0.23582157492637634,0.75,0.9375,0.75,0.0008011938820422534,8.446926949545741e-05,0.0013515083119273186,4.402004241943359
15,0.012166434266331672,0.0034260471272658595,0.08556806286232489,0.00986138389393202,0.005884329737675602,0.001233294201483659,0.14706651726489883,0.23820285499095917,0.75,0.75,0.5625,0.0008011938820422534,0.0004367510282463627,0.00210639089345932,4.4445178508758545
20,0.01214840965853496,0.0034148514798767113,0.08484383543595822,0.009180097068759588,0.022387893644642616,0.0012516760871221777,0.14809499221500938,0.09666071832180023,0.75,0.6875,0.5625,0.000763369278169014,0.0007278209434389282,0.006056161597371101,4.448215007781982
25,0.012139228478337477,0.003427258009182741,0.08565580280441226,0.01039788624202659,0.002484908158128912,0.0012790133769158274,0.1481617353355097,0.12466102093458176,0.6875,1.0,0.6875,0.0009731238996478872,2.1202029529376887e-05,0.0003392324724700302,4.429793834686279
30,0.012036422255797067,0.003484396017015432,0.08414312243235833,0.00793315081790467,0.0005274711880665196,0.0012251605430719792,0.14478849060078522,0.25996720790863037,0.6875,0.75,0.5,0.0006567726672535211,0.0006750426309736213,0.004080513957887888,4.380636692047119
35,0.012065158710071836,0.0034389282997716406,0.08471577827150774,0.01110398367882226,9.069353147810254e-05,0.00122697610186151,0.1465643649053206,0.21015985310077667,0.75,0.75,0.5625,0.0009112290933098592,0.00044567743498191703,0.0023705826606601477,4.497404098510742
40,0.011989728822796182,0.0034232636278076567,0.08399301234896135,0.010920871116969015,0.002250097571195258,0.0011920483184439945,0.14338808132439823,0.24667572975158691,0.6875,0.75,0.5,0.0010522117077464788,0.00041053967106563505,0.002458703937008977,4.404200077056885
45,0.011962884623143408,0.0034329199203939147,0.08358950113332031,0.011654410868199782,0.0006733184448438409,0.0011760046963900095,0.14174207928504723,0.2622005343437195,0.625,0.6875,0.4375,0.0017124229753521128,0.0005927163292653859,0.0017709449166432023,4.444994688034058
50,0.011906795264833202,0.0034614847296839486,0.0827404787820397,0.011043725981477164,0.0011100360239557874,0.0011923383844987256,0.14188452779557387,0.26229292154312134,0.6875,0.625,0.4375,0.0014442121478873242,0.0007457602969225263,0.0028473325073719025,4.435549020767212
55,0.01197151184514767,0.003476419407319315,0.083235883248048,0.010734344006382941,0.0012815853510939191,0.001195856743834156,0.14190199975649578,0.27714642882347107,0.6875,0.625,0.4375,0.001378878741197183,0.0007498558188672177,0.0021145662758499384,4.42432975769043
60,0.011867742413993587,0.003407486000349933,0.08289758102366268,0.010933851535118508,0.0007346279750625128,0.0011924873806492542,0.14188437970235634,0.2563849091529846,0.6875,0.625,0.4375,0.0013754401408450705,0.0006876251645735465,0.0025765143800526857,4.4203362464904785
65,0.011840110529458733,0.0034213869260962715,0.08247116191143339,0.01095523409928475,0.0007488370695230388,0.001181023371827905,0.14148156630938957,0.29366204142570496,0.6875,0.625,0.4375,0.0015404929577464788,0.0008192134300770704,0.0028966425452381372,4.462059736251831
70,0.011931929107040468,0.0034186860056702197,0.08339062792183173,0.011371162361187586,0.0004893758505709735,0.001191886251035612,0.14157360865598417,0.27573180198669434,0.625,0.625,0.375,0.0013823173415492959,0.000680395482959284,0.002840362023562193,4.4075093269348145
75,0.01183657169652482,0.0034185004152470465,0.08248687502598823,0.011008253924763156,0.0004457607048947227,0.0011896542710019276,0.14141014220331083,0.2670312821865082,0.6875,0.625,0.4375,0.0014854753521126762,0.0006608140733987966,0.0025011294055730104,4.401644706726074
80,0.011802793821470455,0.003430671862331266,0.08201214576121231,0.011035723317694751,0.0004460522820062868,0.0011909708364328253,0.14138214419572687,0.2667404115200043,0.625,0.625,0.375,0.001451089348591549,0.0006556095252676641,0.002595016499981284,4.357544660568237
85,0.011741430745601203,0.003430327578127911,0.08140793026923532,0.010909063937830147,0.0005565283688969949,0.0011898020411535981,0.14127640615862216,0.27054718136787415,0.625,0.625,0.4375,0.0014854753521126758,0.0006850324543847819,0.00262040295638144,4.4215919971466064
90,0.011758170332853693,0.0033934092859977463,0.08194334309247106,0.01089764092808601,0.0005474014443530225,0.0011894795006810455,0.14127245638128666,0.2710224390029907,0.5625,0.625,0.375,0.001495791153169014,0.0006885204179525317,0.0027736686170101166,4.530075311660767
95,0.011817752769348598,0.003414638950183724,0.08232821247568636,0.010857665134933667,0.0006095891763591065,0.0011893617283931235,0.14120217807073526,0.2700212001800537,0.5625,0.625,0.375,0.0014992297535211267,0.0007012732407929434,0.0027674725279212,4.433086156845093
100,0.011787469042559165,0.0034023614275748982,0.08214866101854679,0.010843249839063497,0.0006221057338951289,0.0011893008631886914,0.14119773679872777,0.27043020725250244,0.5625,0.625,0.375,0.0014992297535211267,0.0007017495072432212,0.002762481337413192,4.3887975215911865
