epoch,train_loss,train_chamfer,val_chamfer_l2,val_hausdorff,c1_min,secs
0,0.013950166621943936,0.007719974126230227,0.006789102898910642,0.3477464522540788,1.0,63.37523794174194
5,0.009632802591368091,0.004628985851013567,0.004476237965282053,0.34123086732763225,0.48064664006233215,86.7541253566742
10,0.00946455825062003,0.00462267861192231,0.00443181274458766,0.34119980534520034,0.3856402337551117,86.62314105033875
15,0.009420213034609333,0.004612350237875944,0.004442959157750011,0.34080062242666787,0.37895113229751587,86.88798427581787
20,0.009327620622643735,0.004578919049235992,0.004479944205377251,0.34122243032346644,0.38081929087638855,87.29118704795837
25,0.009253316111571621,0.004580676669138484,0.004445074170362205,0.34091041151412005,0.38658541440963745,86.57994794845581
30,0.009301214531296864,0.004578702813596465,0.004407053142786026,0.3398425609967334,0.3707662522792816,87.52747988700867
35,0.009058888305735308,0.004558991279191104,0.004415053110569715,0.33978641316305913,0.3748186528682709,86.57242727279663
40,0.008986901832686271,0.004540246212854981,0.004389878092333674,0.33908192299450163,0.3752710521221161,86.60533928871155
45,0.008960317901801318,0.0045183829258166955,0.004441836555488407,0.3399109688898382,0.37257957458496094,86.5538580417633
50,0.008960917910735588,0.004549718412672519,0.004316496904939413,0.3377031102736147,0.37097346782684326,86.46285462379456
55,0.008916311060020235,0.00452936792455148,0.0043734336039051415,0.3386925085988304,0.37033969163894653,86.62983918190002
60,0.008951275440631434,0.004533471854228992,0.0044070510636083785,0.3385911275432679,0.3703031837940216,86.63056516647339
65,0.008879400845908094,0.004531300602466217,0.0043821740732528265,0.3388095162382443,0.3744279742240906,86.61487698554993
70,0.009018106766452547,0.004527230232051807,0.004381089468952268,0.3389821643368749,0.3693244457244873,86.55270147323608
75,0.008868553956854158,0.004517943013488548,0.004382324493490159,0.3387463093612803,0.3727200925350189,86.57910919189453
80,0.00887218766642036,0.0045288148507825095,0.004387092567048967,0.3387139778100726,0.3705958127975464,86.69457840919495
