epoch,train_loss,train_chamfer,val_chamfer_l2,val_hausdorff,c1_min,secs
0,0.009720913503551856,0.0048112887312890965,0.003783237528987229,0.3329642491093765,0.03645509108901024,91.24678635597229
5,0.006470398286473937,0.0031585676907707238,0.002337514138780534,0.33050941779644943,0.041472211480140686,114.99101495742798
10,0.006468534022715176,0.0031641671758552547,0.0023246105457656084,0.3318201582342497,0.051777586340904236,115.01496315002441
15,0.006377282370231115,0.0031327315350063146,0.002360055362805724,0.3324857231431295,0.022517168894410133,115.00570797920227
20,0.006278563190426212,0.0032947254514874656,0.0023230345966294406,0.32990176757566786,0.036819133907556534,114.99281215667725
25,0.006234868635219755,0.003131967403242015,0.0023069336102344096,0.32991324220367135,0.018123997375369072,115.06716871261597
30,0.0061783585413650146,0.003136875140335178,0.0022857368411496283,0.3295749191998603,0.019867097958922386,115.00675845146179
35,0.006207893031969434,0.0032099277501401956,0.0023060670401901006,0.32998338258843346,0.020848918706178665,114.94990468025208
40,0.0062072513028397225,0.0031209678023151354,0.0022837815224193035,0.3295913947796981,0.016801495105028152,115.15517473220825
45,0.006163832492165966,0.0031385038462030932,0.0022834038571454586,0.3297497403329031,0.02078917622566223,114.94727540016174
50,0.006145528765628115,0.003141370969824493,0.0022956880927085875,0.3301775483247381,0.022047005593776703,114.99803733825684
55,0.0061358857681625524,0.003123845024165348,0.00229854725766927,0.3303857570540464,0.02091691456735134,114.89245104789734
60,0.006097618094645441,0.003134973791093216,0.0022925055399537087,0.3300797269117506,0.015498329885303974,115.74942421913147
65,0.006145391223108163,0.0031357468415080803,0.002375759808346629,0.33359810392398775,0.02338222600519657,115.71705102920532
70,0.0060848415552754885,0.003137635919410968,0.002282432906795293,0.32969150077330206,0.008672255091369152,115.04428172111511
75,0.006043531465547858,0.0031326138979784444,0.002293355327565223,0.329649642462124,0.032171282917261124,114.95635271072388
80,0.00604403010380338,0.003128066903736908,0.002286159486975521,0.3296502464895677,0.03394133225083351,116.1976523399353
85,0.006016097197425551,0.0031254918307968183,0.0022972840699367223,0.32991984737752955,0.03527829423546791,115.02038097381592
90,0.006036052045383258,0.0031378145982307614,0.00229344439227134,0.3297940783020895,0.035227030515670776,115.32603764533997
95,0.006024447488161968,0.00313118161240709,0.0022949093021452428,0.3298563185166825,0.03519286960363388,115.07247257232666
100,0.006023282120295335,0.0031312554910982726,0.0022952890861779453,0.3298811114949521,0.03514222800731659,115.08961272239685
