epoch,train_loss,train_chamfer,val_chamfer_l2,val_hausdorff,c1_min,secs
0,0.01718304693698883,0.010199109019595198,0.011950778029859065,0.4288063298075593,1.0,53.92139768600464
5,0.011975217407452873,0.00610449525192962,0.00595787231810391,0.39991744455680633,0.6863987445831299,76.53582668304443
10,0.011701512639410794,0.006010183387988945,0.005956173250451684,0.40056998842454405,0.6743118166923523,76.55979299545288
15,0.011825184554618317,0.00601609808349167,0.005874482747167349,0.39927504498348076,0.5539142489433289,76.51606774330139
20,0.011470000258996152,0.005953530225378927,0.006053119394928217,0.40310783298597835,0.5859087109565735,76.78296852111816
25,0.011257461642380805,0.005927537541138009,0.005772318718954921,0.3987757998540494,0.5795935392379761,76.66054701805115
30,0.011386105758720077,0.005919937498692889,0.005842935848049819,0.3986868299163065,0.5860748291015625,76.68616604804993
35,0.011353924832656048,0.0059055222311872055,0.005837001316249371,0.3996458808252654,0.5379627346992493,76.58148789405823
40,0.011195050190144685,0.005889971996948589,0.0058201710134744645,0.39974509406648323,0.5247026085853577,76.77939057350159
45,0.011266381948953495,0.0058746824912668675,0.005898722279816866,0.39953686912818454,0.450615257024765,76.6867880821228
50,0.011201753285422455,0.005888104438345181,0.005777720934711397,0.3991453555932971,0.5495907664299011,76.75734305381775
55,0.010963178104138932,0.005856862740183715,0.005777045669965446,0.3987143159516928,0.4645244777202606,76.70786023139954
