epoch,train_loss,train_chamfer,val_chamfer_l2,val_hausdorff,c1_min,secs
0,0.03303870901989285,0.020691985491139347,0.018878540936857462,0.39005580911019905,1.0,45.05852651596069
5,0.02645798367098905,0.014397006758954375,0.012780728931538761,0.3649965804168366,0.683501124382019,67.01578521728516
10,0.026052272695233115,0.014084203622478525,0.012656767452135682,0.36374311061766973,0.5030344128608704,66.95875716209412
15,0.025747772316390184,0.014007781381660606,0.012493440336547791,0.36417644445234776,0.4748702049255371,66.95494079589844
20,0.02564084357494721,0.013944807639782085,0.012555861305445433,0.36427644752391025,0.5031919479370117,67.02331018447876
25,0.025543318381533026,0.013932852660072968,0.01243934776633978,0.36387809051195175,0.3993555009365082,66.93525815010071
30,0.02539540136989672,0.013825045818230138,0.01250525571871549,0.36357460246396545,0.45981764793395996,67.01001191139221
35,0.025320824054069817,0.0137929887601058,0.012516848314553498,0.36346389022148307,0.46942710876464844,67.00840973854065
40,0.025221946479286998,0.013751487880072091,0.012407798068597913,0.3634761613293159,0.4212707579135895,66.99326252937317
45,0.025215022297052202,0.013735427046049154,0.012592852795496583,0.36346057250194475,0.5311500430107117,66.96572375297546
50,0.02508500813943101,0.013670089366933098,0.012523799389600753,0.36338817460491635,0.4525703489780426,67.53591871261597
55,0.024964130689331798,0.013616625818540342,0.012604128569364548,0.363345388197843,0.4609813392162323,67.03082609176636
60,0.02488304094935302,0.013596829219022766,0.012642449233680964,0.3635869994229503,0.44430282711982727,66.95480418205261
65,0.02481609764683526,0.013549716867273673,0.0125028355140239,0.3634993425263295,0.4409175515174866,67.8676986694336
70,0.024757772628508975,0.013492350863089086,0.01252487882040441,0.3634017799945285,0.4543665051460266,67.00413084030151
