index,path,projection_stage,alpha,classical_full_err,classical_base_err,classical_crown_err,learned_full_err,learned_base_err,learned_crown_err,projected_full_err,projected_base_err,projected_crown_err,learned_base_cap_fold,learned_crown_cap_fold,projected_base_cap_fold,projected_crown_cap_fold,raw_safe,post_safe
0,data/meshes/thingi_126195.obj,tangent,0.4486028105020523,0.01594239062656103,0.030960464961660314,0.02989226518743148,0.015528775393377232,0.029526220897563904,0.027910850469539034,0.015637627369931746,0.02964479719637604,0.028152611411781627,0.0,0.0,0.0,0.0,0,1
1,data/meshes/thingi_136634.obj,none,1.0,0.013152751805351621,0.017256485918448652,0.01722390769692169,0.013079809244556635,0.01704583750657112,0.01714485181705562,0.013079809244556635,0.01704583750657112,0.01714485181705562,0.0,0.0,0.0,0.0,1,1
2,data/meshes/thingi_1464288.obj,all,0.5055810511112213,0.0181004425313009,0.0338060866170249,0.032780385686809535,0.018319537034154166,0.03509577853751292,0.036416454620824754,0.018195905627898766,0.034420387319905446,0.034526721037514405,0.0,0.0,0.0,0.0,0,1
3,data/meshes/thingi_199820.obj,none,1.0,0.017093351923157023,0.033748279453264834,0.03522522549474466,0.016920698334481295,0.03328954551416899,0.032980052829677864,0.016920698334481295,0.03328954551416899,0.032980052829677864,0.0,0.0,0.0,0.0,1,1
4,data/meshes/thingi_209086.obj,none,1.0,0.02651268282877722,0.1102791265833701,0.11230444156190167,0.025696610832476353,0.1057568437154831,0.10749975005436274,0.025696610832476353,0.1057568437154831,0.10749975005436274,0.0,0.0,0.0,0.0,1,1
5,data/meshes/thingi_237183.obj,none,1.0,0.008783924117719165,0.012822475624452791,0.010412537323866676,0.008711531058667775,0.012351789791941388,0.009806540617428541,0.008711531058667775,0.012351789791941388,0.009806540617428541,0.0,0.0,0.0,0.0,1,1
6,data/meshes/thingi_40067.obj,all,0.5700306594362701,0.010415686430549131,0.012372433448040093,0.014188278820976154,0.01031416622491056,0.01200910223643849,0.013047134340706144,0.010365500443188756,0.012128449685299487,0.013694625964104677,0.0,0.0,0.0,0.0,0,1
7,data/meshes/thingi_406449.obj,none,1.0,0.012596591862328303,0.029655307100847562,0.029812062491345763,0.012013645608187962,0.027946568638045285,0.026052516963813176,0.012013645608187962,0.027946568638045285,0.026052516963813176,0.0,0.0,0.0,0.0,1,1
8,data/meshes/thingi_472055.obj,none,1.0,0.019153801701048304,0.02213497468497446,0.024811524409668575,0.0188236997795042,0.021782600533560452,0.02242263751395263,0.0188236997795042,0.021782600533560452,0.02242263751395263,0.0,0.0,0.0,0.0,1,1
9,data/meshes/thingi_472097.obj,none,1.0,0.009987049463197981,0.020238269795181896,0.020895202416543336,0.009720630129181736,0.018343579519714284,0.01856634189329038,0.009720630129181736,0.018343579519714284,0.01856634189329038,0.0,0.0,0.0,0.0,1,1
10,data/meshes/thingi_472135.obj,none,1.0,0.006313252862345448,0.006422539692316348,0.006421502690663106,0.00631779255461993,0.006486427933067553,0.006429810770831676,0.00631779255461993,0.006486427933067553,0.006429810770831676,0.0,0.0,0.0,0.0,1,1
11,data/meshes/thingi_57140.obj,none,1.0,0.014513579731356703,0.0362420065513471,0.0342073223556233,0.013701933002117424,0.03237376468991143,0.02771372400250187,0.013701933002117424,0.03237376468991143,0.02771372400250187,0.0,0.0,0.0,0.0,1,1
12,data/meshes/thingi_62991.obj,none,1.0,0.009650707482266024,0.017318705576315332,0.01749979441744144,0.00920870229217969,0.014960690927642396,0.01307377295734496,0.00920870229217969,0.014960690927642396,0.01307377295734496,0.0,0.0,0.0,0.0,1,1
13,data/meshes/thingi_636794.obj,none,1.0,0.02389583591891699,0.08381323670189914,0.12086044719230589,0.022922326878616096,0.07709971057876308,0.11312851561877049,0.022922326878616096,0.07709971057876308,0.11312851561877049,0.0,0.0,0.0,0.0,1,1
14,data/meshes/thingi_723895.obj,none,1.0,0.013328199797052851,0.0219934491681123,0.023629916424238125,0.012945510870079032,0.0209648000510339,0.018494277607109998,0.012945510870079032,0.0209648000510339,0.018494277607109998,0.0,0.0,0.0,0.0,1,1
15,data/meshes/thingi_73268.obj,none,1.0,0.015087347179862775,0.0213673902235919,0.020981847232605568,0.014669664722338584,0.01977917833046265,0.018410406097205845,0.014669664722338584,0.01977917833046265,0.018410406097205845,0.0,0.0,0.0,0.0,1,1
16,data/meshes/thingi_79195.obj,none,1.0,0.008500398912923039,0.020038319935867105,0.012990748858369889,0.008203936744253152,0.018890251925992575,0.010878723946523103,0.008203936744253152,0.018890251925992575,0.010878723946523103,0.0,0.0,0.0,0.0,1,1
17,data/meshes/thingi_81137.obj,none,1.0,0.012205993549449574,0.02572274180997203,0.025234120989803856,0.011631337344666554,0.023037807423272966,0.020495210469134044,0.011631337344666554,0.023037807423272966,0.020495210469134044,0.0,0.0,0.0,0.0,1,1
18,data/meshes/thingi_89448.obj,none,1.0,0.010078041177620893,0.01787847564835056,0.018189076645145373,0.00962431768924077,0.01561238407851176,0.014354377515291408,0.00962431768924077,0.01561238407851176,0.014354377515291408,0.0,0.0,0.0,0.0,1,1
19,data/meshes/thingi_90440.obj,none,1.0,0.010301012245486612,0.019121020993822877,0.025764537290111897,0.009943245161106598,0.017231136509416264,0.022487901211265374,0.009943245161106598,0.017231136509416264,0.022487901211265374,0.0,0.0,0.0,0.0,1,1
20,data/meshes/thingi_991313.obj,all,0.028589724562152696,0.010789843328885874,0.05207739425273322,0.05674707184376879,0.011856770158842442,0.04757080997444387,0.07884513941894805,0.01082110078406828,0.05196565290454224,0.05737680208457057,0.0,0.0,0.0,0.0,0,1
